"","TICKER","gvkey","permno","adate","qdate","public_date","CAPEI","bm","evm","pe_op_basic","pe_op_dil","pe_exi","pe_inc","ps","pcf","dpr","npm","opmbd","opmad","gpm","ptpm","cfm","roa","roe","roce","efftax","aftret_eq","aftret_invcapx","aftret_equity","pretret_noa","pretret_earnat","GProf","equity_invcap","debt_invcap","totdebt_invcap","capital_ratio","int_debt","int_totdebt","cash_lt","invt_act","rect_act","debt_at","debt_ebitda","short_debt","curr_debt","lt_debt","profit_lct","ocf_lct","cash_debt","fcf_ocf","lt_ppent","dltt_be","debt_assets","debt_capital","de_ratio","intcov","intcov_ratio","cash_ratio","quick_ratio","curr_ratio","cash_conversion","inv_turn","at_turn","rect_turn","pay_turn","sale_invcap","sale_equity","sale_nwc","rd_sale","adv_sale","staff_sale","accrual","ptb","PEG_trailing","divyield","cusip","gvkey_count","ticker_count","same_count"
"311","AXP","001447",59176,2009-12-31,2010-03-31,2010-05-31,14.971,0.272,20.687,27.881,27.881,20.446,20.446,1.761,7.636,0.496,0.095,0.18,0.14,0.18,0.13,0.135,0.041,0.19,0.054,0.248,0.172,0.058,0.179,NA,NA,0.039,0.2,0.8,0.87,0.8,0.022,0.02,0.181,NA,NA,0.475,12.233,0.081,NA,0.49,NA,NA,0.058,0.867,40.751,3.989,0.891,0.878,8.147,3.116,3.116,NA,NA,NA,321.9,NA,0.215,0.379,0.569,0.395,1.971,NA,0,0,0.192,-0.029,3.568,NA,"1.81%","02581610",156,156,TRUE
"312","AXP","001447",59176,2009-12-31,2010-03-31,2010-06-30,14.907,0.272,20.687,27.762,27.762,20.359,20.359,1.754,7.604,0.496,0.095,0.18,0.14,0.18,0.13,0.135,0.041,0.19,0.054,0.248,0.172,0.058,0.179,NA,NA,0.039,0.2,0.8,0.87,0.8,0.022,0.02,0.181,NA,NA,0.475,12.233,0.081,NA,0.49,NA,NA,0.058,0.867,40.751,3.989,0.891,0.878,8.147,3.116,3.116,NA,NA,NA,321.9,NA,0.215,0.379,0.569,0.395,1.971,NA,0,0,0.192,-0.029,3.552,NA,"1.81%","02581610",156,156,TRUE
"313","AXP","001447",59176,2009-12-31,2010-09-30,2010-11-30,16.051,0.315,17.056,16.007,16.067,14.124,14.078,1.781,6.488,0.236,0.127,0.235,0.201,0.235,0.187,0.16,0.052,0.263,0.075,0.248,0.263,0.067,0.263,NA,NA,0.049,0.188,0.812,0.875,0.812,0.019,0.018,0.178,NA,NA,0.487,9.907,0.072,NA,0.505,NA,NA,0.058,0.891,45.253,4.325,0.895,0.884,8.564,4.095,4.906,NA,NA,NA,358.382,NA,0.21,0.345,0.521,0.377,2.005,NA,0,0,0.192,-0.032,3.268,0.537,"1.67%","02581610",156,156,TRUE
"314","AXP","001447",59176,2009-12-31,2010-06-30,2010-09-30,15.739,0.304,18.584,18.848,18.848,15.567,15.567,1.794,6.586,0.269,0.115,0.211,0.177,0.211,0.168,0.149,0.047,0.236,0.068,0.248,0.236,0.065,0.236,NA,NA,0.045,0.193,0.807,0.876,0.807,0.021,0.019,0.182,NA,NA,0.481,10.769,0.078,NA,0.496,NA,NA,0.058,0.9,43.266,4.193,0.894,0.882,8.445,3.676,4.11,NA,NA,NA,329.743,NA,0.212,0.362,0.537,0.386,2.003,NA,0,0,0.192,-0.034,3.485,1.448,"1.71%","02581610",156,156,TRUE
"315","AXP","001447",59176,2009-12-31,2010-06-30,2010-10-31,15.536,0.304,18.584,18.592,18.592,15.356,15.356,1.771,6.501,0.269,0.115,0.211,0.177,0.211,0.168,0.149,0.047,0.236,0.068,0.248,0.236,0.065,0.236,NA,NA,0.045,0.193,0.807,0.876,0.807,0.021,0.019,0.182,NA,NA,0.481,10.769,0.078,NA,0.496,NA,NA,0.058,0.9,43.266,4.193,0.894,0.882,8.445,3.676,4.11,NA,NA,NA,329.743,NA,0.212,0.362,0.537,0.386,2.003,NA,0,0,0.192,-0.034,3.44,1.428,"1.74%","02581610",156,156,TRUE
"316","AXP","001447",59176,2009-12-31,2009-12-31,2010-02-28,14.277,0.298,28.007,37.812,37.812,24.799,24.799,1.723,7.159,0.473,0.081,0.139,0.098,0.139,0.107,0.121,0.029,0.163,0.035,0.248,0.14,0.051,0.163,NA,NA,0.03,0.258,0.742,0.978,0.742,0.017,0.012,0.236,NA,NA,0.441,14.871,0.241,NA,0.378,NA,NA,0.058,0.879,39.426,2.881,0.884,0.869,7.614,3.827,3.448,NA,NA,NA,440.11,NA,0.212,0.361,0.639,0.474,1.841,NA,0,0,0.192,-0.034,3.172,NA,"1.89%","02581610",156,156,TRUE
"317","AXP","001447",59176,2009-12-31,2010-09-30,2010-12-31,15.94,0.315,17.056,15.896,15.955,14.026,13.98,1.769,6.443,0.236,0.127,0.235,0.201,0.235,0.187,0.16,0.052,0.263,0.075,0.248,0.263,0.067,0.263,NA,NA,0.049,0.188,0.812,0.875,0.812,0.019,0.018,0.178,NA,NA,0.487,9.907,0.072,NA,0.505,NA,NA,0.058,0.891,45.253,4.325,0.895,0.884,8.564,4.095,4.906,NA,NA,NA,358.382,NA,0.21,0.345,0.521,0.377,2.005,NA,0,0,0.192,-0.032,3.245,0.533,"1.68%","02581610",156,156,TRUE
"318","AXP","001447",59176,2010-12-31,2011-03-31,2011-05-31,18.611,0.322,15.471,15.877,15.926,14.373,14.373,2.036,6.921,0.202,0.143,0.255,0.225,0.255,0.211,0.173,0.054,0.29,0.079,0.32,0.29,0.068,0.29,NA,NA,0.053,0.204,0.796,0.878,0.796,0.018,0.016,0.168,NA,NA,0.476,8.904,0.092,NA,0.486,NA,NA,0.071,0.889,45.304,3.914,0.89,0.877,8.055,4.849,6.057,NA,NA,NA,395.603,NA,0.21,0.325,0.501,0.387,1.9,NA,0,0,0.184,-0.032,3.548,1.015,"1.40%","02581610",156,156,TRUE
"319","AXP","001447",59176,2010-12-31,2011-03-31,2011-06-30,18.648,0.322,15.471,15.908,15.957,14.401,14.401,2.04,6.934,0.202,0.143,0.255,0.225,0.255,0.211,0.173,0.054,0.29,0.079,0.32,0.29,0.068,0.29,NA,NA,0.053,0.204,0.796,0.878,0.796,0.018,0.016,0.168,NA,NA,0.476,8.904,0.092,NA,0.486,NA,NA,0.071,0.889,45.304,3.914,0.89,0.877,8.055,4.849,6.057,NA,NA,NA,395.603,NA,0.21,0.325,0.501,0.387,1.9,NA,0,0,0.184,-0.032,3.555,1.017,"1.39%","02581610",156,156,TRUE
"320","AXP","001447",59176,2010-12-31,2011-03-31,2011-07-31,17.911,0.322,15.471,15.397,15.444,13.939,13.939,1.959,6.66,0.202,0.143,0.255,0.225,0.255,0.211,0.173,0.054,0.29,0.079,0.32,0.29,0.068,0.29,NA,NA,0.053,0.204,0.796,0.878,0.796,0.018,0.016,0.168,NA,NA,0.476,8.904,0.092,NA,0.486,NA,NA,0.071,0.889,45.304,3.914,0.89,0.877,8.055,4.849,6.057,NA,NA,NA,395.603,NA,0.21,0.325,0.501,0.387,1.9,NA,0,0,0.184,-0.032,3.415,0.984,"1.44%","02581610",156,156,TRUE
