"","TICKER","gvkey","public_date","bm","ptb","GProf","npm","capital_ratio","totdebt_invcap","cash_lt","short_debt","debt_assets","de_ratio","sale_equity","sale_invcap"
"311","AXP","001447",2010-05-31,0.272,3.568,0.039,0.095,0.8,0.87,0.181,0.081,0.891,8.147,1.971,0.395
"312","AXP","001447",2010-06-30,0.272,3.552,0.039,0.095,0.8,0.87,0.181,0.081,0.891,8.147,1.971,0.395
"313","AXP","001447",2010-11-30,0.315,3.268,0.049,0.127,0.812,0.875,0.178,0.072,0.895,8.564,2.005,0.377
"314","AXP","001447",2010-09-30,0.304,3.485,0.045,0.115,0.807,0.876,0.182,0.078,0.894,8.445,2.003,0.386
"315","AXP","001447",2010-10-31,0.304,3.44,0.045,0.115,0.807,0.876,0.182,0.078,0.894,8.445,2.003,0.386
"316","AXP","001447",2010-02-28,0.298,3.172,0.03,0.081,0.742,0.978,0.236,0.241,0.884,7.614,1.841,0.474
"317","AXP","001447",2010-12-31,0.315,3.245,0.049,0.127,0.812,0.875,0.178,0.072,0.895,8.564,2.005,0.377
"318","AXP","001447",2011-05-31,0.322,3.548,0.053,0.143,0.796,0.878,0.168,0.092,0.89,8.055,1.9,0.387
"319","AXP","001447",2011-06-30,0.322,3.555,0.053,0.143,0.796,0.878,0.168,0.092,0.89,8.055,1.9,0.387
"320","AXP","001447",2011-07-31,0.322,3.415,0.053,0.143,0.796,0.878,0.168,0.092,0.89,8.055,1.9,0.387
"321","AXP","001447",2011-04-30,0.316,3.635,0.05,0.134,0.763,1.021,0.175,0.253,0.89,8.06,1.863,0.442
"322","AXP","001447",2011-09-30,0.295,2.944,0.055,0.148,0.782,0.868,0.173,0.099,0.884,7.622,1.843,0.402
"323","AXP","001447",2011-10-31,0.295,3.25,0.055,0.148,0.782,0.868,0.173,0.099,0.884,7.622,1.843,0.402
"324","AXP","001447",2011-11-30,0.345,3.083,0.056,0.15,0.771,0.864,0.18,0.107,0.881,7.391,1.818,0.416
"325","AXP","001447",2011-12-31,0.345,3.027,0.056,0.15,0.771,0.864,0.18,0.107,0.881,7.391,1.818,0.416
"326","AXP","001447",2012-01-31,0.345,3.224,0.056,0.15,0.771,0.864,0.18,0.107,0.881,7.391,1.818,0.416
"327","AXP","001447",2012-02-29,0.342,3.283,0.056,0.152,0.721,0.936,0.192,0.23,0.877,7.159,1.718,0.48
"328","AXP","001447",2012-03-31,0.342,3.597,0.056,0.152,0.721,0.936,0.192,0.23,0.877,7.159,1.718,0.48
"329","AXP","001447",2011-03-31,0.316,3.348,0.05,0.134,0.763,1.021,0.175,0.253,0.89,8.06,1.863,0.442
"330","AXP","001447",2012-05-31,0.295,3.228,0.058,0.152,0.753,0.837,0.192,0.101,0.875,7.021,1.75,0.433
"331","AXP","001447",2012-06-30,0.295,3.365,0.058,0.152,0.753,0.837,0.192,0.101,0.875,7.021,1.75,0.433
"332","AXP","001447",2012-07-31,0.295,3.302,0.058,0.152,0.753,0.837,0.192,0.101,0.875,7.021,1.75,0.433
"333","AXP","001447",2012-08-31,0.291,3.43,0.06,0.152,0.746,0.831,0.19,0.102,0.874,6.913,1.743,0.443
"334","AXP","001447",2012-09-30,0.291,3.346,0.06,0.152,0.746,0.831,0.19,0.102,0.874,6.913,1.743,0.443
"335","AXP","001447",2012-10-31,0.291,3.251,0.06,0.152,0.746,0.831,0.19,0.102,0.874,6.913,1.743,0.443
"336","AXP","001447",2012-11-30,0.305,3.212,0.061,0.151,0.737,0.825,0.189,0.106,0.872,6.826,1.726,0.453
"337","AXP","001447",2012-12-31,0.305,3.302,0.061,0.151,0.737,0.825,0.189,0.106,0.872,6.826,1.726,0.453
"338","AXP","001447",2013-01-31,0.305,3.336,0.061,0.151,0.737,0.825,0.189,0.106,0.872,6.826,1.726,0.453
"339","AXP","001447",2013-02-28,0.297,3.635,0.061,0.133,0.715,0.941,0.168,0.24,0.877,7.109,1.79,0.511
"340","AXP","001447",2013-03-31,0.297,3.936,0.061,0.133,0.715,0.941,0.168,0.24,0.877,7.109,1.79,0.511
"341","AXP","001447",2013-04-30,0.297,3.98,0.061,0.133,0.715,0.941,0.168,0.24,0.877,7.109,1.79,0.511
"342","AXP","001447",2012-04-30,0.342,3.743,0.056,0.152,0.721,0.936,0.192,0.23,0.877,7.159,1.718,0.48
"343","AXP","001447",2013-06-30,0.26,4.258,0.062,0.132,0.737,0.826,0.183,0.107,0.874,6.943,1.769,0.465
"344","AXP","001447",2010-03-31,0.298,3.421,0.03,0.081,0.742,0.978,0.236,0.241,0.884,7.614,1.841,0.474
"345","AXP","001447",2010-04-30,0.298,3.835,0.03,0.081,0.742,0.978,0.236,0.241,0.884,7.614,1.841,0.474
"346","AXP","001447",2013-09-30,0.235,4.281,0.062,0.134,0.735,0.822,0.184,0.106,0.875,7.017,1.786,0.473
"347","AXP","001447",2013-10-31,0.235,4.604,0.062,0.134,0.735,0.822,0.184,0.106,0.875,7.017,1.786,0.473
"348","AXP","001447",2010-07-31,0.272,3.997,0.039,0.095,0.8,0.87,0.181,0.081,0.891,8.147,1.971,0.395
"349","AXP","001447",2010-08-31,0.304,3.305,0.045,0.115,0.807,0.876,0.182,0.078,0.894,8.445,2.003,0.386
"350","AXP","001447",2014-01-31,0.238,4.708,0.063,0.135,0.732,0.818,0.179,0.105,0.875,7.008,1.811,0.485
"351","AXP","001447",2014-02-28,0.202,4.975,0.064,0.153,0.7,0.929,0.149,0.246,0.873,6.867,1.792,0.538
"352","AXP","001447",2014-03-31,0.202,4.893,0.064,0.153,0.7,0.929,0.149,0.246,0.873,6.867,1.792,0.538
"353","AXP","001447",2014-04-30,0.202,4.747,0.064,0.153,0.7,0.929,0.149,0.246,0.873,6.867,1.792,0.538
"354","AXP","001447",2011-01-31,0.315,3.28,0.049,0.127,0.812,0.875,0.178,0.072,0.895,8.564,2.005,0.377
"355","AXP","001447",2011-02-28,0.316,3.228,0.05,0.134,0.763,1.021,0.175,0.253,0.89,8.06,1.863,0.442
"356","AXP","001447",2014-07-31,0.21,4.61,0.067,0.157,0.725,0.809,0.163,0.105,0.872,6.809,1.809,0.498
"357","AXP","001447",2014-08-31,0.204,4.637,0.066,0.159,0.724,0.809,0.154,0.105,0.87,6.698,1.799,0.497
"358","AXP","001447",2014-09-30,0.204,4.533,0.066,0.159,0.724,0.809,0.154,0.105,0.87,6.698,1.799,0.497
"359","AXP","001447",2014-10-31,0.204,4.604,0.066,0.159,0.724,0.809,0.154,0.105,0.87,6.698,1.799,0.497
"360","AXP","001447",2014-11-30,0.223,4.73,0.067,0.162,0.725,0.809,0.151,0.104,0.869,6.648,1.773,0.488
"361","AXP","001447",2011-08-31,0.295,3.26,0.055,0.148,0.782,0.868,0.173,0.099,0.884,7.622,1.843,0.402
"362","AXP","001447",2015-01-31,0.223,4.083,0.067,0.162,0.725,0.809,0.151,0.104,0.869,6.648,1.773,0.488
"363","AXP","001447",2015-02-28,0.209,4.174,0.063,0.167,0.682,0.923,0.165,0.253,0.87,6.462,1.707,0.53
"364","AXP","001447",2015-03-31,0.209,3.982,0.063,0.167,0.682,0.923,0.165,0.253,0.87,6.462,1.707,0.53
"365","AXP","001447",2015-04-30,0.209,3.949,0.063,0.167,0.682,0.923,0.165,0.253,0.87,6.462,1.707,0.53
"366","AXP","001447",2015-05-31,0.275,3.71,0.065,0.171,0.718,0.802,0.16,0.105,0.866,6.476,1.684,0.475
"367","AXP","001447",2015-06-30,0.275,3.616,0.065,0.171,0.718,0.802,0.16,0.105,0.866,6.476,1.684,0.475
"368","AXP","001447",2015-07-31,0.275,3.489,0.065,0.171,0.718,0.802,0.16,0.105,0.866,6.476,1.684,0.475
"369","AXP","001447",2015-08-31,0.281,3.51,0.066,0.171,0.712,0.8,0.164,0.11,0.865,6.385,1.633,0.471
"370","AXP","001447",2015-09-30,0.281,3.392,0.066,0.171,0.712,0.8,0.164,0.11,0.865,6.385,1.633,0.471
"371","AXP","001447",2015-10-31,0.281,3.295,0.066,0.171,0.712,0.8,0.164,0.11,0.865,6.385,1.633,0.471
"372","AXP","001447",2015-11-30,0.292,3.305,0.064,0.166,0.702,0.791,0.162,0.112,0.863,6.293,1.606,0.479
"373","AXP","001447",2015-12-31,0.292,3.209,0.064,0.166,0.702,0.791,0.162,0.112,0.863,6.293,1.606,0.479
"374","AXP","001447",2016-01-31,0.292,2.43,0.064,0.166,0.702,0.791,0.162,0.112,0.863,6.293,1.606,0.479
"375","AXP","001447",2016-02-29,0.283,2.809,0.062,0.15,0.649,0.854,0.164,0.22,0.872,6.309,1.666,0.556
